frase,situacao
"sinto dor no peito e falta de ar há algumas horas",alto risco
"tenho um leve incômodo nas costas após carregar peso",baixo risco
"sinto aperto no tórax e suor frio desde esta manhã",alto risco
"estou com cansaço leve após uma semana de trabalho intenso",baixo risco
"sinto dor irradiando do peito para o braço esquerdo",alto risco
"tive uma leve tontura ao levantar rápido da cama",baixo risco
"sinto palpitações fortes e dificuldade para respirar",alto risco
"estou com dor de cabeça fraca no final do dia",baixo risco
"sinto pressão alta, visão turva e dor de cabeça intensa",alto risco
"tenho cansaço constante e inchaço nas pernas há dias",alto risco
"sinto um leve desconforto no estômago após refeição pesada",baixo risco
"sinto batimentos irregulares e fraqueza generalizada",alto risco
"estou com dor muscular leve após exercício físico",baixo risco
"sinto náusea, suor frio e desconforto no peito",alto risco
"tenho leve falta de ar ao subir muitos lances de escada",baixo risco
"sinto dor no peito que piora com esforço físico",alto risco
"estou com leve dor de garganta e coriza há dois dias",baixo risco
"sinto tontura intensa e quase desmaiei agora pouco",alto risco
"tenho cansaço após atividade física intensa no treino",baixo risco
"sinto aperto no peito e dificuldade para respirar ao deitar",alto risco
