sintoma1,sintoma2,sintoma3,doenca
dor no peito,aperto no tórax,dor ao esforço,Infarto Agudo do Miocárdio
falta de ar,dificuldade para respirar,aperto no peito,Angina Pectoris
cansaço constante,fadiga,inchaço nas pernas,Insuficiência Cardíaca
palpitações,batimentos irregulares,tontura,Arritmia Cardíaca
dor irradiando para o braço,suor frio,náusea,Infarto Agudo do Miocárdio
pressão alta,dor de cabeça intensa,visão turva,Hipertensão Grave
inchaço nas pernas,dificuldade para respirar ao deitar,fadiga,Insuficiência Cardíaca Congestiva
tontura,fraqueza,batimentos irregulares,Fibrilação Atrial
desconforto no peito,suor frio,náusea,Síndrome Coronariana Aguda
falta de ar ao esforço,cansaço,dor no peito leve,Angina Estável
